fund_source_code,fund_source_name,description
11,Bộ/ngành,Ngân sách cấp bộ/ngành
12,Đơn vị hành chính,Ngân sách cấp địa phương/đơn vị hành chính
21,Quỹ dự án,Quỹ dành cho dự án
31,Thu phí,Thu phí dịch vụ
